national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
5147,United Arab Emirates,united-arab-emirates,183,United Arab Emirates,UAE1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5147.png?lm=1438121485,24,26.8,0,,29049999,,68,2025,https://www.transfermarkt.co.uk/united-arab-emirates/startseite/verein/5147
5148,North Macedonia,north-macedonia,100,North Macedonia,MAZ1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5148.png?lm=1622018641,25,27.8,17,68.0,34450001,,69,2025,https://www.transfermarkt.co.uk/north-macedonia/startseite/verein/5148
5233,Bolivia,bolivia,23,Bolivia,BO1A,CONMEBOL,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5233.png?lm=1410462273,27,23.8,16,59.3,17850000,,77,2025,https://www.transfermarkt.co.uk/bolivia/startseite/verein/5233
53982,Kosovo,kosovo,244,Kosovo,KO1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/53982.png?lm=1630793039,27,26.5,26,96.3,147449997,,78,2025,https://www.transfermarkt.co.uk/kosovo/startseite/verein/53982
5547,Israel,israel,74,Israel,ISR1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5547.png?lm=1410169118,23,25.4,13,56.5,68099998,,76,2025,https://www.transfermarkt.co.uk/israel/startseite/verein/5547
5598,China,china,34,China,CSL,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5598.png?lm=1411550524,26,27.9,0,,14330000,,91,2025,https://www.transfermarkt.co.uk/china/startseite/verein/5598
5674,Northern Ireland,northern-ireland,192,Northern Ireland,NIR1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5674.png?lm=1403455451,23,23.8,23,100.0,79900002,,70,2025,https://www.transfermarkt.co.uk/northern-ireland/startseite/verein/5674
5676,Thailand,thailand,167,Thailand,THA1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5676.png?lm=1522316821,24,28.6,3,12.5,6550000,,94,2025,https://www.transfermarkt.co.uk/thailand/startseite/verein/5676
5750,Ecuador,ecuador,44,Ecuador,EC1N,CONMEBOL,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/5750.png?lm=1578984500,26,26.1,24,92.3,368700012,,23,2025,https://www.transfermarkt.co.uk/ecuador/startseite/verein/5750
6090,Moldova,moldova,112,Moldova,MO1N,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/6090.png?lm=1477691558,26,25.2,15,57.7,9700000,,159,2025,https://www.transfermarkt.co.uk/moldova/startseite/verein/6090
